MOTORCYCLE TYPE,Call Type, Case Origin,MOTORCYCLE Engine Type
3-Wheeled,2T 2nd Tow,--None--,
Custom Bike,BA Battery Express,Call Centre,
Chopperrr,BK Bike Assist,History Call,
Cruiser,BL Blocker Vehicle Call,Xperigo,
Sports Bike,CA ClubAuto,SmartAction,
Scooter,CC CourtesyCall,RSO Web,
Standard,DT DownTime,RSO App,
,GT Garage Tow-Out,
,IL In Lieu,
,JA Join on Arrival,
,KD Drvr Key & Release,
,KG Kids Go Free,
,KM Mbr Key & Release,
,KO Oper Key & Release,
,LT Long Tow,
,MV Motor Vehicle Accident,
,RA Renew on Arrival,
,RC Retail Call,
,SA SmartAction,
,SP Service Provider Delay,
,SR Safe Ride Home Program,
,TP Third Party,
,UN Uninsured Vehicle,
,WD Wavedown,
,,,







